vm_sku_key,vm_sku_name,logical_cores,memory_gb
1,Standard_A1_v2,1,2
2,Standard_A2_v2,2,4
3,Standard_A2m_v2,2,16
4,Standard_A4_v2,4,8
5,Standard_A4m_v2,4,32
6,Standard_A8_v2,8,16
7,Standard_A8m_v2,8,64
8,Standard_B12ms,12,48
9,Standard_B16als_v2,16,32
10,Standard_B16as_v2,16,64
11,Standard_B16ls_v2,16,32
12,Standard_B16ms,16,64
13,Standard_B16pls_v2,16,32
14,Standard_B16ps_v2,16,64
15,Standard_B16s_v2,16,64
16,Standard_B1ls,1,0.5
17,Standard_B1ms,1,2
18,Standard_B1s,1,1
19,Standard_B20ms,20,80
20,Standard_B2als_v2,2,4
21,Standard_B2as_v2,2,8
22,Standard_B2ats_v2,2,1
23,Standard_B2ls_v2,2,4
24,Standard_B2ms,2,8
25,Standard_B2pls_v2,2,4
26,Standard_B2ps_v2,2,8
27,Standard_B2pts_v2,2,1
28,Standard_B2s,2,4
29,Standard_B2s_v2,2,8
30,Standard_B2ts_v2,2,1
31,Standard_B32als_v2,32,64
32,Standard_B32as_v2,32,128
33,Standard_B32ls_v2,32,64
34,Standard_B32s_v2,32,128
35,Standard_B4als_v2,4,8
36,Standard_B4as_v2,4,16
37,Standard_B4ls_v2,4,8
38,Standard_B4ms,4,16
39,Standard_B4pls_v2,4,8
40,Standard_B4ps_v2,4,16
41,Standard_B4s_v2,4,16
42,Standard_B8als_v2,8,16
43,Standard_B8as_v2,8,32
44,Standard_B8ls_v2,8,16
45,Standard_B8ms,8,32
46,Standard_B8pls_v2,8,16
47,Standard_B8ps_v2,8,32
48,Standard_B8s_v2,8,32
49,Standard_D1,1,3.5
50,Standard_D1_v2,1,3.5
51,Standard_D11,2,14
52,Standard_D11_v2,2,14
53,Standard_D11_v2_Promo,2,14
54,Standard_D12,4,28
55,Standard_D12_v2,4,28
56,Standard_D12_v2_Promo,4,28
57,Standard_D128ds_v6,128,512
58,Standard_D128lds_v6,128,256
59,Standard_D128ls_v6,128,256
60,Standard_D128s_v6,128,512
61,Standard_D13,8,56
62,Standard_D13_v2,8,56
63,Standard_D13_v2_Promo,8,56
64,Standard_D14,16,112
65,Standard_D14_v2,16,112
66,Standard_D14_v2_Promo,16,112
67,Standard_D15_v2,20,140
68,Standard_D16_v3,16,64
69,Standard_D16_v4,16,64
70,Standard_D16_v5,16,64
71,Standard_D16a_v4,16,64
72,Standard_D16ads_v5,16,64
73,Standard_D16ads_v6,16,64
74,Standard_D16alds_v6,16,32
75,Standard_D16als_v6,16,32
76,Standard_D16as_v4,16,64
77,Standard_D16as_v5,16,64
78,Standard_D16as_v6,16,64
79,Standard_D16d_v4,16,64
80,Standard_D16d_v5,16,64
81,Standard_D16ds_v4,16,64
82,Standard_D16ds_v5,16,64
83,Standard_D16ds_v6,16,64
84,Standard_D16lds_v5,16,32
85,Standard_D16lds_v6,16,32
86,Standard_D16ls_v5,16,32
87,Standard_D16ls_v6,16,32
88,Standard_D16pds_v5,16,64
89,Standard_D16pds_v6,16,64
90,Standard_D16plds_v5,16,32
91,Standard_D16plds_v6,16,32
92,Standard_D16pls_v5,16,32
93,Standard_D16pls_v6,16,32
94,Standard_D16ps_v5,16,64
